Date,Video ID,Title,Channel,Talents,Published,View Count,Is Cover,Thumbnail
24/01/2022,5EuqR0GavMk,CINEMA - 尾丸ポルカ(cover),Polka Ch. 尾丸ポルカ,ポルカ,23/01/2022,33715,cover,https://i.ytimg.com/vi/5EuqR0GavMk/default.jpg
24/01/2022,ibXRzMUUWPE,オリジナルMV 「思ひ恋ふ」【潤羽るしあ/ホロライブ】,Rushia Ch. 潤羽るしあ,るしあ,22/01/2022,144523,original,https://i.ytimg.com/vi/ibXRzMUUWPE/default.jpg
24/01/2022,dmzY4R2QLfM,【攻殻機動隊】rise / AZKi【歌ってみた】,AZKi Channel,AZKi,22/01/2022,47338,cover,https://i.ytimg.com/vi/dmzY4R2QLfM/default.jpg
24/01/2022,AaMM_1lmFVE,Daydream,Various Artists - Topic,Kronii,20/01/2022,68507,original,https://i.ytimg.com/vi/AaMM_1lmFVE/default.jpg
24/01/2022,4Hg0Nchl3HU,【MV】おにけもだんす / いろはにほへっと あやふぶみ【楽曲好評配信中！】,hololive ホロライブ - VTuber Group,いろは,19/01/2022,443942,original,https://i.ytimg.com/vi/4Hg0Nchl3HU/default.jpg
24/01/2022,EkAlXnJPVPA,アニマル / 夜空メル(cover),Mel Channel 夜空メルチャンネル,メル,17/01/2022,76040,cover,https://i.ytimg.com/vi/EkAlXnJPVPA/default.jpg
24/01/2022,Py21QCndbxc,「Original Song」A New Start - MV,Nanashi Mumei Ch. hololive-EN,Calliope Mumei,17/01/2022,803638,original,https://i.ytimg.com/vi/Py21QCndbxc/default.jpg
24/01/2022,IGviVpVE1fA,【Original Song】ALiCE&u【Ayunda Risu】,Ayunda Risu Ch. hololive-ID,Risu,15/01/2022,163538,original,https://i.ytimg.com/vi/IGviVpVE1fA/default.jpg
24/01/2022,eUJa1Mw6OIk,Silent Night Requiem,Various Artists - Topic,オウガ,15/01/2022,3012,original,https://i.ytimg.com/vi/eUJa1Mw6OIk/default.jpg
24/01/2022,MAhcVce-mQE,「この世界で」MusicVideo(Short ver.）【ときのそら】,SoraCh. ときのそらチャンネル,そら,14/01/2022,75585,original,https://i.ytimg.com/vi/MAhcVce-mQE/default.jpg
24/01/2022,IVOMj4x2VVg,いいわけバニー,Pekora Usada - Topic,ぺこら,12/1/2022,152146,original,https://i.ytimg.com/vi/IVOMj4x2VVg/default.jpg
24/01/2022,p_wSoMIdQ18,Flower of hope,IRyS - Topic,IRyS,11/1/2022,38208,original,https://i.ytimg.com/vi/p_wSoMIdQ18/default.jpg
24/01/2022,hj7dF69OznY,"Sink again, Rise again",IRyS - Topic,IRyS,11/1/2022,40033,original,https://i.ytimg.com/vi/hj7dF69OznY/default.jpg
24/01/2022,ysid9gXNxts,Bare your teeth,IRyS - Topic,IRyS,11/1/2022,51005,original,https://i.ytimg.com/vi/ysid9gXNxts/default.jpg
24/01/2022,cHSGi7RUGxE,Only in Hope,IRyS - Topic,IRyS,11/1/2022,60285,original,https://i.ytimg.com/vi/cHSGi7RUGxE/default.jpg
24/01/2022,1olEauFL700,Joy with You,IRyS - Topic,IRyS,11/1/2022,47857,original,https://i.ytimg.com/vi/1olEauFL700/default.jpg
24/01/2022,smeV74BZKCw,Nameless Sadness,IRyS - Topic,IRyS,11/1/2022,40542,original,https://i.ytimg.com/vi/smeV74BZKCw/default.jpg
24/01/2022,N_eK0ujrhmY,ふ･れ･ん･ど･し･た･い / やかまし娘 (cover),Korone Ch. 戌神ころね,ころね ノエル マリン,10/1/2022,319091,cover,https://i.ytimg.com/vi/N_eK0ujrhmY/default.jpg
24/01/2022,pKJErsN-ylU,【MV】 Journey Like a Thousand Years 【hololive English -Myth- Original Song】,hololive English,Calliope Kiara Ina'nis Gura Amelia,9/1/2022,950297,original,https://i.ytimg.com/vi/pKJErsN-ylU/default.jpg
24/01/2022,6VGkeUaX-zk,【Animation MV】 My song / 角巻わため 【original】,Watame Ch. 角巻わため,わため,6/1/2022,888526,original,https://i.ytimg.com/vi/6VGkeUaX-zk/default.jpg
24/01/2022,AaCFoBdpviw,うまぴょい伝説 /covered by【さくらみこ× 不知火フレア×周防パトラ 】,Patra Channel / 周防パトラ 【ハニスト】,みこ フレア,5/1/2022,109076,cover,https://i.ytimg.com/vi/AaCFoBdpviw/default.jpg
24/01/2022,Zc05le75CfI,【オリジナル曲】　FACT/常闇トワ　【フルMV】,Towa Ch. 常闇トワ,トワ,3/1/2022,1011966,original,https://i.ytimg.com/vi/Zc05le75CfI/default.jpg
24/01/2022,GCUK_IyRTY8,みっころね×しょうたいむ!!,さくらみこ - Topic,ころね,2/1/2022,107025,original,https://i.ytimg.com/vi/GCUK_IyRTY8/default.jpg
24/01/2022,uFJHdT_ie9U,Ochame Kinou - hololive English Cover,hololive English,Calliope Kiara Ina'nis Gura Amelia IRyS Kronii Mumei Sana Baelz Fauna,1/1/2022,3379813,cover,https://i.ytimg.com/vi/uFJHdT_ie9U/default.jpg
24/01/2022,_UZM-07USQY,おにけもだんす,Various Artists - Topic,いろは,31/12/2021,96088,original,https://i.ytimg.com/vi/_UZM-07USQY/default.jpg
24/01/2022,7jDkn2TzxJk,ラブカ？ / 鷹嶺ルイ(cover),Lui ch. 鷹嶺ルイ - holoX -,ルイ,30/12/2021,893144,cover,https://i.ytimg.com/vi/7jDkn2TzxJk/default.jpg
24/01/2022,vz4m-D30SAw,Dawn Blue,Mori Calliope - Topic,Calliope,29/12/2021,645560,original,https://i.ytimg.com/vi/vz4m-D30SAw/default.jpg
24/01/2022,fsPSaFbonGo,ししわたクッキング / 角巻わため×獅白ぼたん【original】,Watame Ch. 角巻わため,わため ぼたん,29/12/2021,463295,original,https://i.ytimg.com/vi/fsPSaFbonGo/default.jpg
24/01/2022,I9rvEDBfyaY,Takanashi Kiara - Sad Sparks ( A Sad Rendition Of SPARKS ),Takanashi Kiara Ch. hololive-EN,Kiara,29/12/2021,148951,original,https://i.ytimg.com/vi/I9rvEDBfyaY/default.jpg
24/01/2022,_qmAo83zOUg,私へ　天音かなた(cover),Kanata Ch. 天音かなた,かなた,28/12/2021,215484,cover,https://i.ytimg.com/vi/_qmAo83zOUg/default.jpg
24/01/2022,pC6o5QCY7s8,Existlog,AZKi - Topic,AZKi,28/12/2021,17297,original,https://i.ytimg.com/vi/pC6o5QCY7s8/default.jpg
24/01/2022,OjdFqjL13R0,オーバーライト,AZKi - Topic,AZKi,28/12/2021,20470,original,https://i.ytimg.com/vi/OjdFqjL13R0/default.jpg
24/01/2022,xaol7imXNd4,【歌ってみた】ガランド / アステル feat.荒咬オウガ,astel ch.アステル,アステル オウガ,28/12/2021,66112,cover,https://i.ytimg.com/vi/xaol7imXNd4/default.jpg
24/01/2022,zREufEpj0zM,【Original Animation MV】天使のagape／天音かなた,Kanata Ch. 天音かなた,かなた,27/12/2021,526088,original,https://i.ytimg.com/vi/zREufEpj0zM/default.jpg
24/01/2022,PxiiB40eTWY,アカシア・シンドローム／紫咲シオン【GL文庫イメージソング】,Shion Ch. 紫咲シオン,シオン,27/12/2021,260513,original,https://i.ytimg.com/vi/PxiiB40eTWY/default.jpg
24/01/2022,a0N1bX_CkcU,【オリジナル楽曲MV】JOURNEY to FIND STARS【ホロスターズ】,holostars ホロスターズ - VTuber Group,みやび イヅル アルランディス 律可 アステル 天真 ロベル シエン オウガ,27/12/2021,96421,original,https://i.ytimg.com/vi/a0N1bX_CkcU/default.jpg
24/01/2022,Wl9EcS5As2w,アニマル / 大神ミオ Cover,Mio Channel 大神ミオ,ミオ,27/12/2021,667239,cover,https://i.ytimg.com/vi/Wl9EcS5As2w/default.jpg
24/01/2022,wToRgQzYAA0,天使のagape,天音かなた - Topic,かなた,27/12/2021,89698,original,https://i.ytimg.com/vi/wToRgQzYAA0/default.jpg
24/01/2022,LB-BiUb4Z3U,マイネームイズエリート☆,さくらみこ - Topic,みこ,26/12/2021,20225,original,https://i.ytimg.com/vi/LB-BiUb4Z3U/default.jpg
24/01/2022,uCfjf3rvTJY,Target for Love / Gawr Gura (Blue Archive OST Cover),Gawr Gura Ch. hololive-EN,Gura,26/12/2021,1353345,cover,https://i.ytimg.com/vi/uCfjf3rvTJY/default.jpg
24/01/2022,y2vrlxmOp7U,【MV】Sparks of Joy / IRyS【Original Song】,IRyS Ch. hololive-EN,IRyS,26/12/2021,261064,original,https://i.ytimg.com/vi/y2vrlxmOp7U/default.jpg
24/01/2022,IT7mfF97m3w,「Deck The Halls」Christmas Song Cover by Amelia Watson,Watson Amelia Ch. hololive-EN,Amelia,26/12/2021,316125,cover,https://i.ytimg.com/vi/IT7mfF97m3w/default.jpg
24/01/2022,3DrYQMK4hJE,バイバイレイニー / 星街すいせい(official),Suisei Channel,すいせい,25/12/2021,921450,original,https://i.ytimg.com/vi/3DrYQMK4hJE/default.jpg
24/01/2022,Hl1-8j9OJyo,ライオン (Lion) - May'n 中島愛 // covered by 獅白ぼたん＆雪花ラミィ【歌ってみた】,Lamy Ch. 雪花ラミィ,ぼたん,25/12/2021,827123,cover,https://i.ytimg.com/vi/Hl1-8j9OJyo/default.jpg
